Category,Resume

Arts," Good communication skill  Quick learner  Keen to find solutionsEducation Details 
 MBA Marketing and International Business Management Pune, Maharashtra Pune University
 B-Tech Tech Nagpur, Maharashtra RTM Nagpur University
G.M. Arts, Commerce & Science 

G.M. Arts, Commerce & Science
Skill Details 
Company Details 
company - Samarth College
description - of Engineering        30          7        210 
5      College to campus             VJ College of Pharmacy         10 days' orkshop       10

G.M. Arts, Commerce & Science 6          Soft Skills                                               6 days' orkshop           6
College

Personality             G.M. Institute of Agricultural 7		6 days' orkshop           6
Development                        Diploma 
8          Soft Skills           Samarth College of Polytechnic     20 days' orkshop       20

TOTAL                                              350
ORKING EXPERIENCE IN CORPORATE:
Sr. No               Topic                      Company                  No. of days    Total Hrs 
1       Presentation skill & Team    Elringklinger Automotives Pvt 1 Day           8 building orkshop             Ltd, Ranjangaon, Pune 
2           Negotiation skill & Kubler Automation Pvt Ltd., 2 days          16
Communication skill               Chakan, Pune 
3       Business Communication       Finanza Home Loans, Pimple 3 days          21 & Stress management               saudagar, Pune 
4        Team-building & Verbal       Sharvari Products Pvt Ltd, 2 days          16 communication                   Junner, Pune 7 days' 5             Entrepreneurship       Agriculture Research Centre,
orkshop        168
Development               Narayangaon, Pune (8 batches)
TOTAL                                             229

ADJOINING SKILLS:  orking knoledge of indos operating system and MS Office  Communicate ell in English, Hindi & Marathi.
 Organized and participated in events like gathering, teachers day, fashion sho and various science exhibitions at college"

Arts," Operating Systems: indos XP / Vista / 07Education Details 
January 2018 M.F.A painting Nagpur, Maharashtra Nagpur University
January 2016 B.F.A. Painting Nagpur, Maharashtra Nagpur University
January 2012 Diploma Art  Maharashtra State Board
January 2010 H.S.C.   Maharashtra State Board
January 2008 S.S.C.   Maharashtra State Board
Fine arts lecturer 


Skill Details 
Ms-Cit- Experience - 96 monthsCompany Details 
company - Shubhankan Fine Arts College, indore
description -  I'm doing a job as a Lecturer in Shubhankan Fine Arts College Indore from Nov 2018.
 I'm an Artist, completed ATD, BFA and MFA in painting. 
 I'm searching for a job in my faculty in my area and comfort place. To improve my knoledge and experience in this field.
company - 
description - I have a experience of classes of painting, rangoli, draing, summer classes, etc

Health: Physical Disability ( Orthopedically)"

 
Arts,"Education Details 
August 2018 to January 2021 Entermediate Maths Mumbai, Maharashtra Sunbeam academy , samne ghat , varanasi
Martial arts (fitness job) 


Skill Details 
Company Details 
company - Sports Authority
description - I am 2nd dan black belt in karate (martial arts)
I am in a searching of personal trainer job for fitness.
I on 3 gold medals in national karate championship.
I on 7 gold medals in state karate championship.
3 times best player of the year of uttar pradesh aard ..
Represented india and Selected for orld karate championship held at Croatia , Europe.
"
Arts,"I Other Skills Course/Skill Name Board Year Of Passing Grade Intermediate Grade Draing Art Examination Committee, 2011 B Examination Maharashtra State I Academic Programme Detail National Service Scheme (Camp): - Sponsored By Government of India Ministry Of Youth Affairs And Sports, Ne Delhi & North Maharashtra University, Jalgaon. I Strengths  Ability to Learn From Mistakes. * Honesty  Ready to accept challenges and responsibilities. * Quick learning, adaptability, confidence. I Declaration I /201 Your faithfully, Pia .. . . ( Jetalal Hiralal Gorbanjara)Education Details 
May 2010 HSC  Nashik, Maharashtra State Board
June 2008 SSC  Nashik, Maharashtra State Board
Asst.Professor 

Asst.Professor
Skill Details 
Company Details 
company - Kisan Arts
description - - Total ork Experience ( In Months)
Sr.       Name of Organization / College        Designation              orking Period          Total Experience
No.		( In Months)
From            To
1.        Kisan Arts, Commerce & Science        Asst.Professor      20/07/2015    31/05/2016        10 Months
Sr. College, Parola Dist- Jalgaon, {Political Sci.)
Maharashtra
company - Bahadarpur, Tai- Parola Dist
description - "

web Designing,"Education Details 
 B.C.A Bachelor Computer Application Pune, Maharashtra Pune University
 H.S.C.  Pune, Maharashtra Pune University
 S.S.C.  Pune, Maharashtra Pune University
web Designing and Developer 

php Developer - Exposys Pvt. Ltd
Skill Details 
Company Details 
company - Exposys Pvt. Ltd
description - Technical Skills
web Development: HTML5, CSS3, Bootstrap, PHP, Ajax, Jquery, JavaScript.
Database: MySQL.
Development Tools: Notepad++, Sublime Text2.
Frameork: Codeigniter.
Server: Apache tomcat, Xampp Control Panel.
Operating Systems: indos.
company - Exposys Pvt. Ltd
description - Pune.	Augest 2017 to till date

Project Details:
Project-I: Pragat Bharat System
Technologies Used: HTML, CSS, BOOTSTRAP, PHP, JQUERY, AJAX.
Database Used: My SQL.
Team size: 1
Position: Softare Developer
Synopsis: This project aim is specially design for people. It is used to collect information to diifernt sector.

Project-II: Go Ayur System
Technologies Used: HTML, CSS, BOOTSTRAP, PHP, JQUERY, AJAX.
Database Used: My SQL.
Team size: 2
Position: Softare Developer
Synopsis: Go Ayurveda Panchakarma center is one of most traditionally ell established, professional and innovative providers of Classical
Ayurvedic Health services and Kerala Panchakarma therapies.

Project-III: Vitsanindia System
Technologies Used: HTML, CSS, BOOTSTRAP, PHP, JQUERY, AJAX, JAVA SCRIPT.
Database Used: My SQL.
Team size: 2
Position: Softare Developer
Synopsis: Online Shooping through app. This app is user friendly because there is a option for change language. User can to find different categories products as there choice.

Project-IV: MahabalesharTours
Technologies Used: HTML, CSS, BOOTSTRAP, PHP, JQUERY, AJAX, JAVA SCRIPT.
Database Used: My SQL.
Team size: 1
Position: Softare Developer
Synopsis: In this system is to provide Online Registration, Tour Package Information, Ticket Booking, Online Payment and Searching Facility for Customer and also Generate Different types of Report.

Project-V: Cityspaceindia
Technologies Used: HTML, CSS, BOOTSTRAP, PHP, JQUERY, AJAX, JAVA SCRIPT.
Database Used: My SQL.
Team size: 1
Position: Softare Developer
Synopsis: Service provider website e provide different categories.

Project-VI: Fruitsbuddy
Technologies Used: HTML, CSS, BOOTSTRAP, PHP, JQUERY, AJAX, JAVA SCRIPT.
Database Used: My SQL.
Team size: 1
Position: Softare Developer
Synopsis: Fruitbuddy is to manage the details of fruits, Customer, Order, Transaction, Payment. It manages all the information about fruits, Stocks, Payment. The project is totally built at administrative end and thus only the administrator is guaranteed the access. The purpose of the project is to build an application program to reduce the manual ork for managing the fruits, Customer, Stocks, Order.

Project-VII: Totalcitee
Technologies Used: HTML, CSS, BOOTSTRAP, PHP, JQUERY, AJAX, JAVA SCRIPT.
Database Used: My SQL.
Team size: 1
Position: Softare Developer
Synopsis: Real Estate web application has been created for helping you to sell properties through web based user interface. Visitors on your website can vie particular desired products using search engine facility.

Project-VIII: Golchha
Technologies Used: HTML, CSS, BOOTSTRAP, PHP, JQUERY, AJAX, JAVA SCRIPT.
Database Used: My SQL.
Team size: 1
Position: Softare Developer
Synopsis: Service provider website e provide different categories."

web Designing,"Technical Skills web Technologies: Angular JS, HTML5, CSS3, SASS, Bootstrap, Jquery, Javascript. Softare: Brackets, Visual Studio, Photoshop, Visual Studio Code Education Details 
January 2015 B.E CSE Nagpur, Maharashtra G.H.Raisoni College of Engineering
October 2009  Photography Competition Click Nagpur, Maharashtra Maharashtra State Board
    College Magazine OCEAN
web Designer 

web Designer - Trust Systems and Softare
Skill Details 
PHOTOSHOP- Experience - 28 months
BOOTSTRAP- Experience - 6 months
HTML5- Experience - 6 months
JAVASCRIPT- Experience - 6 months
CSS3- Experience - Less than 1 year months
Angular 4- Experience - Less than 1 year monthsCompany Details 
company - Trust Systems and Softare
description - Projects orked on:
1. TrustBank-CBS
Project Description: TrustBank-CBS is a core banking solution by Trust Systems.
Roles and Responsibility:
 Renovated complete UI to make it more modern, user-friendly, maintainable and optimised for bank use.
 Shared the UI structure and guidelines to be incorporated, ith development team of around 50
members.
 Achieved the target of project completion in given time frame.
 Made required graphics for the project in photoshop

2. Loan Bazar (Loan Appraisal)
Project Description: Loan Bazar is a MVC-based application dedicated to creating and managing
loan applications. The goal of this application is to streamline the process of loan application and integrate ith existing CBS.
Roles and Responsibility
 Designed and developed modern and responsive UI of entire application and achieved the target in given time frame.
 Made required graphics for the project in photoshop
3. Capital Security Bond Application
Project Description: Capital Security Bond Application is a MVC based application hich provided an online platform to purchase gold bond
Roles and Responsibility:
 Designed and developed modern and responsive UI of entire application and achieved the target in given time frame.
 Made required graphics for the project in photoshop

4. SoftGST
Project Description: SoftGST (web Based Application) is an ASP application to every tax
payers and its vendors for generating the GSTR returns on the basis of sales / purchase
data, additionally the application can do the reconciliation of GSTR 2 A ith purchase register.
Roles and Responsibility:
 Designed and developed the UI of Dashboard.

5. Trust Analytica:
Project Description: Trust Analytika is the mobile web app that shos bank asset, liability,
income, expenses.
Roles and Responsibility:
 Designed and developed the landing page of the application.
 Supported the developers in UI implementation

6. website's:
Project Name:
1. TSR Technology Services - http://tsrtechnologyservices.com
2. Vidarbha Merchants Urban Co-Op Bank - http://vmcbank.com
3. GISSS - http://gisss.co.in
4. Softtrust USA - http://softtrustusa.com
Roles and Responsibility
 Communicated ith clients to understand their requirement
 Made mocks for the website
 Designed and developed complete website and hosted them in stipulated time.
company - .jalloshband.com
description - Project Name:
1. Jallosh Band - .jalloshband.com
2. An Endeavor Foundation
Roles and Responsibility:
 Communicated ith clients to understand their requirement
 Made mocks for the website
 Designed and developed complete website and hosted them in stipulated time.
company - 10MagicalFingers
description - National and international client interaction.
 Management of digital data"

web Designing,"Education Details 
January 2016 B.Sc. Information Technology Mumbai, Maharashtra University of Mumbai
January 2012 HSC  Allahabad, Uttar Pradesh Allahabad university
January 2010 SSC dot Net Allahabad, Uttar Pradesh Allahabad university
web designer and Developer Trainer 

web designer and Developer
Skill Details 
web design- Experience - 12 months
Php- Experience - 12 monthsCompany Details 
company - NetTech India
description - orking. ( salary - 12k)
PERSONAL INTEREST

Listening to Music, Surfing net, atching Movie, Playing Cricket.
company - EPI Center Academy
description - orking.  ( Salary Contract based)
company - Aptech Charni Road
description - Salary Contract based)"

web Designing,"IT SKILLS Languages: C (Basic), JAVA (Basic) web Technologies: HTML5, CSS3, Bootstrap, JavaScript, jQuery, Corel Dra, Photoshop, Illustrator Databases: MySQL5.0 IDE & Tools: Sublime Text, Notepad Operating Systems: indos XP, indos 7Education Details 
September 2015 Bachelor of Engineer Information technology Nagpur, Maharashtra Nagpur University
May 2011 HSC Secondary & Higher Secondary  State Board of Secondary
June 2009 SSC Secondary & Higher Secondary  Maharashtra State Board of Secondary
web and Graphics Designer 

web and Graphics Designer - Virtuous Media Point, Pune
Skill Details 
BOOTSTRAP- Experience - 24 months
HTML5- Experience - 24 months
JAVASCRIPT- Experience - 24 months
jQuery- Experience - 24 months
COREL DRA- Experience - 24 months
Adobe Photoshop- Experience - 24 months
Adobe Illustrator- Experience - 12 months
CSS3- Experience - 24 monthsCompany Details 
company - Virtuous Media Point
description - 
company - CNC web orld
description - Internship Program: At e-sense IT Solution pvt.ltd. Nagpur as a web Designing and Developement.
* Presented in Project Competition in Innovesta 15 of Priyadarshini Indira Gandhi College of Engineering, Nagpur.
* Presented in National Level Paper Presentation in TECH-AVE 2015 of S.R.M.C.E., Nagpur.
company - e-sense IT Solution pvt.ltd
description - Key Result Areas:
* Designed websites solutions by studying information needs, conferring ith users, and studying systems flo, data usage, and ork processes.
* Understood process requirements and provided use cases for business, functional & technical requirements.
* Interacted ith users for requirement gathering, prepared functional specifications and lo-level design documents.
* Participated in the Softare Development Life cycle (SDLC) and Agile methodology right from requirement analysis,
* Performed detailed design of modules along ith their implementation, and documentation integrated softare modules
Developed by other team members.

Highlights:
* Developed various modules as per customer requirement and identified and fixed number of bugs related to code, Database connectivity, UI Defects and so on.
* Analyzed and modified existing codes to incorporate a number of changes in the application / user requirements, rote ne codes as required.
* Coded, implemented and integrated complex programs using technologies such as HTML5, CSS3, JavaScript, jQuery, bootstrap.
* Having good command on Graphics designing ith effective ideas.

PROJECTS

* .nitka.com, Nagpur united corporation (admin), Mintmetrix.com, Tagline videos (admin), Smartbadge (admin): -
In all projects I have used technologies like HTML5, CSS3, Bootstrap, JavaScript, jQuery and text editor as sublime text.

* .shreekiaspack.co.in, .3staragroproducts.com, .luckystationery.co.in: - used technologies like HTML5, CSS3,
Bootstrap, javascript and text editor as notepad++.

* Design various Logos, Brochures, Advertising Banners, Visiting Cards, Pamphlet, Hoardings etc.

B.E. FINAL YEAR PROJECT

* Major Project: -

Title: wEB BASED DISEASE DIAGNOSIS EXPERT SYSTEM.
Duration: 1 Year

Description: In this project e provide a website in hich doctor gives online consultation for particular disease. System gives better suggestions for any health problems.

* Mini Project Development-

* SHOPPING MANAGEMENT SYSTEM Developed in C++.

CURRICULUM & EXTRA CURRICULUM  ACTIVITIES
company - FACE-IT
description - Co-ordinator in project competition."


Mechanical Engineer,"Education Details 
May 1999 to September 2002 Diploma Mechanical Engg Mumbai, Maharashtra Institute of Mechanical Engg
May 1998 to May 1999 Diploma Mechanical Engg. Services  ITES
May 1993 to May 1995   Mumbai, Maharashtra Industrial Training Institute
Sr. Executive-Mechanical Engineering- Automation & Projects Consultant 

Sr. Executive-Mechanical Engineering- Automation & Projects Consultant - Mechanical Engineering
Skill Details 
Microsoft Office -ord ,Excel,Auto cad,Micro station J ERP 3d Modeling softare- Experience - 120 monthsCompany Details 
company - Mechanical Engineering
description - Role & Responsibilities: - Application Engineering / Pre Sales & Inside Sales  Provide applications support to inside sales personnel and outside sales channels, Provide product selection and materials of construction technical recommendations.
 Participate in the necessary training activities to establish technical competency & also Participate in Field Service trips as directed by Top Mgmt.
 Assist Brand Managers and/or Product Managers as needed.
 Takes active role as support for the Projects Quotations team, being responsible for the technical part of project quotation including selection, sizing and costing of Pneumatic Automation Products, valves, linear & rotary actuator and field Fabrication & equipment on the basis of the customer's data sheets and Engineering Draing.
 Travel as required to support the field sales channel and to promote Company products and services.
 Perform detailed revies of customer specifications, providing comments, clarifications and alternatives to customer requirements.
 Sizing and selection of valves, actuators and prepare cost effective techno-commercial quotations, solutions as per customers technical requirements.
 Coordinate ith other technical departments as required, in order to minimize technical and cost risk.
 Sending quotations accurately and on-time, including all technical and commercial as per customer documentation requests. Participate in the customer negotiation process, including commercial and technical negotiations.
 Follo up of quotations to close the order also Follo up for payment collection.
 Perform PO revies to ensure that all critical elements are correct and take up to Senior Top managements and customer in case of any discrepancies, and get PO amendment if required.
 Create the order transfer file for submission to the factory in accordance ith PO. Support factory for any post order activities & after sales service here necessary to develop and maintain good customer service.

Role & Responsibilities: - Proposal/Estimation Engineering & Products Costing  Revie and receive the RFQs for company products and solutions.
  Estimation of Pneumatic Automation Products & Projects, valves, linear & rotary actuator and field equipment, Piping, Fabricated equipment's etc.
  Plotting enquiries to vendors for critical bought out items.
  Continuous follo up ith vendors for quotations.
  Applying thumb rule or standard practice of design hile estimating for achieving accuracy ith less time.
  Analyzing & evaluating estimated cost and actual cost of the jobs already manufactured in past to arrive at a realistic cost estimates.
  Maintaining databanks of all quotations for readily available to others also.
Coordinating ith Instrumentation & electrical dept. for costing.
  Handling estimation department hile submitting offers on time. Visit to site for site projects, if required. Co-ordination ith Purchase and process departments. Attending Customer Enquiries meeting. Development of vendors.
  Preparation of statement enquiries pending for estimation/ under progress  Understand the client's concern / pain area / requirement, Offer most suitable & optimized the tailor made or predesigned Chemtronics solution ith techno-commercial proposal hich should be technically feasible & commercially viable.
 Assign ork to Jr. Proposal executives/Engineers  Guide & Coordinate ith design, CAD, sales, marketing, project & commercial department.

Role & Responsibilities: - Engg. Procurement & Purchase, Vendor Development & Supply Chain.
 Procurement of Steel/Ra Material & semi-finish Products Based on Projects requirement.
  Continuous improvement in negotiation process & Cost saving opportunities.
  Turn round time improvement & ne vendor development Contract Management & Tenders.
  To achieve target savings against budget and/or last purchase rates & develop ne vendors. & Obtaining quotation and finalization.
  Research and evaluate potential vendors and suppliers, Request quotes and do technical comparisons of Prices, also maintain good relationships ith vendors and suppliers.
  Examine and revie products and supplies to ensure quality & digitize procurement processes.
  Track incoming & future purchasing plans, Projects inventory, delivery arrival time, and note actual arrival time Organize and update database of suppliers, delivery times, invoices, and quantity of supplies.
  Collaborate ith financial team members on contracts, invoicing, and other financial matters 
 Finding out the suppliers for buying various materials from products finders as ell as from internet Source.
  Create RFQ for materials for projects, departments, for project materials, equipment's and services.
  Revie Vendor evaluation & Vendor registration from Supply time & quality of products.
company - Proposal & Estimation
description - M/s Duncan Engineering Ltd, Pune, Ranjangaon MIDC

Role & Responsibilities:-  Project execution, Vendor development, supply chain Management, interacting ith Vendors to ensure timely action of order & negotiating ith the vendor.
 ork directly ith customer to understand their process and develop the best solution For their requirement, lead proposal engineering team & technical support to customer.
 ork ith sales team to professionally represent the company at a customer, gather Data and ask the right question to define a project.
 ork ith our engineers and designer to develop and quote cost effective solution. Cost estimation, preparing proposal & quotation base on Technical specification of Customer requirement & identify production process and machines/brought out Item requirements. & co-ordinate ith customer to understand exact requirements.
 Identification of critical problem & ork out Proper solution in specified time frames.
 Production design-ne manufacturing process - ne product development. Developing
Customized manufacturing solutions. (Steel, Poer & Cement, petrochemical sector.) 
 Executing cost saving techniques/ measures and modifications to achieve

Substantial Reduction in O & M expenditures and ork ithin the budget

Maintaining fruitful Relationships ith existing customers.
company - Rotex Engineers & Manufacturing Pvt. Ltd
description - Nov 2015 - June 2016  Rotex Engineers & Manufacturing Pvt. Ltd Dombivali MIDC, Kaylan.

Role & Responsibilities:-  To Manage & enhance the activity related to proposal of pneumatics/fabrication projects & products.
 Project execution, Vendor development, supply chain Management, interacting ith vendors to ensure Timely action of order & Negotiating ith the vendor.
 Production design-ne manufacturing process - ne product development. Developing
Customized manufacturing solutions. (Steel, Poer & Cement petrochemical sector.)      Preparation of technical data sheets as per tender specification.
     Calculate price structure and analyze cost proposals.
     Monitoring progress throughout the job & comparing it ith the schedule of ork.
     Maintaining fruitful relationships ith existing customers    Revie Vendor evaluation & Vendor registration from Supply time & quality of products.
    Examine and revie products and supplies to ensure quality.
company - Design & Proposal Engineering
description - M/s Schrader Duncan Ltd, Pune, Ranjangaon MIDC

Role & Responsibilities:-  Project execution, Vendor development, supply chain Management, interacting ith
Vendors to ensure timely action of order & negotiating ith the vendor.
 Design or modify Mechanical assemblies, hydraulic/pneumatic assemblies, Fabricated assy
Along ith layouts/schematics and/or detailed draings as per specification.
 Generate electrical or mechanical product specifications, standard operating procedures, maintenance manuals & Doing basic mechanical design, if required.
 Participate in groth & developing innovative solutions ith design & development, sales & marketing team.
 Define, coordinate, perform and generate engineering test reports & engineering analysis.
 In Co-Ordination ith production manager implement and assure that all manufacturing processes are being folloed according to process Flo in relevant Departments.
 Maintain records of Non-Conformity (NC) raised during internal audits and close the same ith corrective actions.
 Maintain records of obsolete documents and remain in touch ith all HODs.
 Maintain ISO documents pertaining to ISO9001-2015 and bring aareness among employees.
 Coordinate & communicate ith channel partners, O.E.M.s, dealers, consultants & end customers for Design & offer technically feasible.
 Carry Out internal audit as per audit plan and schedule, maintain the record of controlled draings.
company - Fabrication Field-Hoist, Goods Lifts
description - JOIST- O- MECH Engg. Pvt. Ltd, Rabale MIDC, Thane

Role & Responsibilities:-  Detailing of draing, Preparations of BOM & ra material inspection.
  Prototype manufacturing (3d modeling)
company - Fabrication Field
description - 
company - MUKAND LTD, Kurla
description - Role & Responsibilities:-  Ra material inspection, Preparations of Gauge for inspection, marking on housing for machining, checking surface finishing"

Mechanical Engineer,"SKILLS:  Knoledge of softare / computer: Auto CAD (Included Diploma Academic Syllabus)  MSCIT  CNC Programming (Fanuc Series) - milling STRENGTHS:  Strong Dedication toards ork.  Quick Learner.  Positive thinking and self-confidence.  Honest, discipline and hardorking. INDUSTRIAL EXPERIENCE:  10 Day's Industrial Training at Nagpur agro Components, Hingna Road, Nagpur.  10 Day's Industrial Training at METAL FAB High-tech Pvt. Ltd, Hingna Road, Nagpur. EXTRA CRICULUM ACTIVITY: Education Details 
 B.E   RTMNU
Mechanical engineering 


Skill Details 
AUTO CAD- Experience - 6 months
AUTOMOTIVE- Experience - 6 months
AUTOMOTIVE CNC- Experience - 6 months
CAD- Experience - 6 months
CNC- Experience - 6 monthsCompany Details 
company - Tata motors, adani, maruti suzuki,jet airays. Air india.
description - 1. I am student of mechanical engineering in the final year. I'm fresher so don't have any experiance in industry.
2. But in 3 rd year the industrial training program conducted by the so 10 days training experiance in the industry.
3. In the 5 th semister the 10 days orking in Nagpur Agro Components. hile the orking all the machine and CNC machine i have seen in industry.
4. In 6 th semister another training program in Metal fab company.
company - No
description - English, Hindi, Marathi

 Participate in JS Urja Project Competition 2017-2018
 Machine Assembly Disassembly and Functioning of parts (1 eeks)

FINAL YEAR PROJECT:

 Design nd fabrication of Pneumatic Punching Machine - in BE
 Paddle operated Sugarcane Juicer machine - in Diploma Engineering."

Mechanical Engineer,"Education Details 
January 2018 Bachelor's of Engineering Engineering Mumbai, Maharashtra MGM College of Engineering
 Diploma Mechanical Pune, Maharashtra MIT
President of Mechanical Engineering Student's Association 

President of Mechanical Engineering Student's Association
Skill Details 
Company Details 
company - Full Throttle
description - conducted by IIT
Bombay.

   orked as a President of Mechanical Engineering Student's Association [MESA] in
MIT, Pune.
company - R.C Car Race of STEPCONE
description - paper & project contest and exhibition conducted by GMR Instiute of Technology."

Mechanical Engineer,"Education Details 
June 2014 to June 2018 BE Mechanical Engineering Pune, Maharashtra Savitribai Phule Pune University
Mechanical Design Engineer 

Mechanical design engineer
Skill Details 
Microsoft office, Autocad, Catia, Solidorks- Experience - 6 monthsCompany Details 
company - Push Engineering Pvt ltd
description - Currently I am orking as mechanical design engineer in Push engineering Pvt ltd. All types of ice making plant are designed and manufactured in our company. Design includes design of pressure vessel ,condenser, conveyor ith the help of 3d modelling softare. Also BOM Preparation of material.ERP System.
company - Central ater and Poer Research Station
description - Pune)
(Govt. of India)

1 year experience as a Research assistant of R&D Department of mechanical orkshop at
Central ater and Poer Research Station, Khadakasla, Pune (Govt. of india)
 Experiences different project of generation of sea aves in laboratory useful for design of port and harbor structures of Mumbai, Chennai, Goa and foreign countries like Japan, Bangladesh etc.
 ave generated by ave maker comes under mechanical orkshop. ave generated ith the help of hydraulic as ell as pneumatic system and also by regular ave generator.
 I experiences sea ave generation by hydraulic system. Experiences design of hydraulic system
includes design of servo actuator, axial piston pump and electric motor under supervision and guidance by 'Scientist 'B' at CPRS.

 SOFTARES SKILLS
 Autocad
 Catia V5
 MS office
 ProE
 EXTRA CURRICULAR ACTIVITY
 Organize a National level Technical event in Mechanical Student Association (MESA)
 Coordinator of MESA as a treasurer.
 Attending 3d printing orkshop in college.
 ork readiness training conducted by NASSCOM foundation and Global Talent Track in college.
 Life Skills training conducted by NASSCOM foundation and Global Talent Track in college.

 PERSONAL ATRIBUTES
 Positive Attitude
 Quick Learner
 Team Leader"

Mechanical Engineer,"* I'm hard orking person. * I'm self confident and can mould myself to all ork environments.Education Details 
January 2016 B.E MECHANICAL ENGINEERING  ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY
January 2010 H.S.C.  Mumbai, Maharashtra MUMBAI UNIVERSITY Secured
January 2008 S.S.C.   PRAKASH Jr. COLLEGE OF SCIENCE & COMMERCE
    S.M.T. RAJDEVI HINDI HIGH SCHOOL
    MAHARSHTRA STATE BOARD Secured
Design Engineer (Mechanical) 


Skill Details 
Autocad, solidorks, catia- Experience - 12 monthsCompany Details 
company - SANARCO ENGINEERING PVT LTD
description - * 1year in SANARCO ENGINEERING PVT. LTD. As a mechanical design engineer.
* orking in SURYA FITNESS as a design engineer.

Major project:
* Project based on  AUTOMATIC ALL PLASTERING MACHINE.
* Automated plastering machine is unique and perhaps one kind of automated plastering machinery ideally suitable for the construction/building industry.
* Automated plastering machine makes rendering easier, faster, and effortless as compare to manual application.
* Automated plastering machine orks ith conventional cement mortar hich brings it to a smooth, flat finish.
* It has good future scope.

Personal Detais:
* Father's Name: Gyandatt Chauhan"

Sales,"Education Details 
 Bachelor's   
 Bachelor's Commerce India Guru Nanak high school
Sales Manager 


Skill Details 
Data Entry- Experience - Less than 1 year months
Cold Calling- Experience - Less than 1 year months
Sales- Experience - Less than 1 year months
Salesforce- Experience - Less than 1 year months
MS Office- Experience - Less than 1 year monthsCompany Details 
company - Emperor Honda
description - 
company - Honda cars india Ltd
description - 1. orked as an Asm at Maruti dealership for 10 years
2. Currently orking as Manager sales in Honda car dealership from last 5 years
3. Good sportsmen represent my college in various cricket  tournaments
4. Lead Nagpur university cricket team also 
5. Searching job in car dealership or cricket academy"


Sales,"KEY SKILLS:  Planning & Strategizing  Presentation skill  Client relationship  Energy level  Enquiry Generation  Achieving Targets QUALIFICATIONS: A university in marketing or business studies is preferred or a minimum of three years of related experience in sales & marketing sector. Problem - solving and analytical skills to interpret sales performance and market trend information. Proven ability to motivate and lead the sales team. Experience in developing marketing and sales strategies. Excellent oral and ritten communication skills, plus a good orking knoledge of Microsoft Office. Computer KNOLEDGE  Knoledge of MS Excel, MS ord, MS PoerPoint achievements and Interests  I played Cricket for National Team (Maharashtra Cricket Association)  Played Regional level Cricket Tournament Thee times for School team  orked as a Sports Secretary in college annual meet.  orked as a volunteer for road sho in POONA College.  orked as a Group leader for college presentation.  My Interest are Learning various computers languages & Tricks and Techniques of computer and Playing Cricket. personal Information . Education Details 
 MBA Operations  Dr. D. Y. Patil College
 B.B.A. Marketing Pune, Maharashtra Poona College
 H. S. C.   Moledina high School & Jr. College
 S. S. C. Maharashtra Board  A.M.V.High School
Sales manager 

Sales Manager
Skill Details 
SALES- Experience - 104 months
MARKETING- Experience - 97 months
SALES TEAM- Experience - 44 months
AND SALES- Experience - 6 months
EXCEL- Experience - 6 monthsCompany Details 
company - F2 Fun Fitness
description - 	Set individual sales targets ith sales team.

	Handling Enquiries.

	Generating ne enquiries

	Set individual sales targets ith sales team.

	Continuously managing team performance.  

	Managing staff training requirements.  
  
	Generate timely sales reports.
	Organizing seasonal promotions and events.

	Supervise and motivate staff.

	    Holds regular meeting ith sales staff.
company - Gold's Gym India Pvt Ltd
description - JOB PROFILE:

 Set individual sales targets ith sales team.

 Handling Enquiries.

 Generating ne enquiries

 Set individual sales targets ith sales team.

 Continuously managing team performance.

 Managing staff training requirements.

 Generate timely sales reports.
 Organizing seasonal promotions and events.

 Supervise and motivate staff.

 Holds regular meeting ith sales staff.
company - 
description - 10 to 24/2012
Achievements: Joined as a sales associate in 2010. Promoted to Sales Manager 2012.
Exceeded sales targets ith high level of contribution & dedication to the organization.
Applauded for Best sales & marketing performance in Pune zone & Aarded the
    Certificate of Excellence & outstanding performance in the year 2014. Ranked as #1 sales manager (out of 6) in 2013 and 2014. Recognized for superior performance as a to-time district ""Employee of the Month"" honoree.

JOB PROFILE:
 Build strategies and develop marketing initiative to create aareness of company services.
 Propose and execute the promotional programme to attract clients.
 orking ith the team of four - six people therweby ensuring that targets defined are achieved.
 Arrange all the necessary & possible facilities for information desk.
 Manages personal and develops sales roles support staff.
 Revies progress of sales roles throughout the company.
 Determine price schedules and discount rate.
 Generate timely sales reports.
 Control expenses and monitor budgets.
company - Talalkars Aspire Fitness Pvt Ltd
description - 
company - Talalkars Aspire Fitness Pvt Ltd
description - "


